Puzzle		Solution Length		BFS		A*-h1		A*-h2
ABCDEFG#IJKHMNOL		2		11		9		9
ABCDEFGHIJ#LMNKO		2		23		16		16
ABCDEFGHIJKLM#NO		2		22		12		12
ABCDEFG#IJKHMNOL		2		11		9		9
ABCDEFGHIJ#KMNOL		2		33		16		16
ABCDEFGHIJKLM#NO		2		22		12		12
ABCDEFGHIJ#LMNKO		2		23		16		16
ABCDEFGHIJKLM#NO		2		22		12		12
ABCDEFG#IJKHMNOL		2		11		9		9
ABCDEFGHIJ#KMNOL		2		33		16		16
AB#CEFGDIJKHMNOL		4		109		16		16
AB#CEFGDIJKHMNOL		4		109		16		16
AB#DEFCGIJKHMNOL		4		83		20		20
ABCDEFGHINJLM#KO		4		83		26		26
ABCDEFGHIJLOMNK#		4		59		26		21
ABCDEFGHIJOKMNL#		4		83		26		21
ABCDE#GHIFKLMJNO		4		92		27		27
AB#DEFCGIJKHMNOL		4		83		20		20
ABCDEFGH#JKLIMNO		4		88		19		19
ABCDEFGH#IKLMJNO		4		107		23		23
#AGCEBFDIJKHMNOL		8		1529		36		36
AFBCE#HDIJGKMNOL		8		1728		43		43
EABCIFGD#JKHMNOL		8		1213		31		31
ABCDEFGH#MKLJINO		8		1593		86		57
ABCDEFL#IJHGMNKO		8		1546		98		77
ABCDE#GHMFJKNIOL		8		1792		63		60
ABCDFGKHEI#LMJNO		8		1822		49		49
ABCDEFGHMIJLNKO#		8		1801		60		42
EACDB#GHIFKLMJNO		8		2252		64		61
AFBCIEGD#JKHMNOL		8		1279		35		35
ABDHEFGCIJ#LMNKO		8		1838		97		72
FBDHAEC#IJGKMNOL		12		23195		223		134
ABCDEGOHIJFLM#KN		14		112286		3487		807
EC#DBAJHIGFLMNKO		14		121375		476		197
BGDHACF#ENJLIMKO		16		348498		249		92
BCGDAFJH#EKLINMO		16		522634		921		404
BCDHAFGOEJLKIMN#		16		254935		300		78
AFBGEJKC#NHDIMOL		16		403829		497		76
EB#CFJGDAIKHMNOL		16		516359		1603		644
FCGDBAKH#EJLIMNO		16		543374		756		132
BGFCAJLDENKHI#MO		20		6913305		2923		501
AFCGIEBD#NKHJMOL		22		20533364		28679		4941
